Time,WC,WT,WL,AH,AT,HS
Sun May 15 13:33:36 2022,30.217743787203528,24.75,-747,73.25352461127393,22.1642578125,0
Sun May 15 13:34:09 2022,29.913755135112204,24.8125,-766,79.18191056691731,22.1896484375,0
Sun May 15 13:34:41 2022,30.178285361455924,24.8125,-789,76.44555628720276,22.1947265625,0
Sun May 15 13:35:13 2022,30.744836895821646,24.8125,-788,78.06109012763979,22.1998046875,0
Sun May 15 13:35:45 2022,31.256252056549602,24.75,-776,76.90273657867549,22.2099609375,0
Sun May 15 13:36:17 2022,31.153694096723992,24.75,-799,85.77117412010917,22.2607421875,0
Sun May 15 13:36:49 2022,32.38991189385559,24.75,-837,80.42609560797915,22.2505859375,0
Sun May 15 13:37:21 2022,31.923287998839267,24.6875,-842,83.08113278241696,22.2556640625,0
Sun May 15 13:37:53 2022,31.97716647515703,24.75,-839,78.85794657320909,22.2251953125,0
Sun May 15 13:38:25 2022,32.35199608197169,24.6875,-835,76.72912353236315,22.2404296875,0
Sun May 15 13:38:57 2022,31.92572081623064,24.6875,-848,79.18754286023041,22.2353515625,0
Sun May 15 13:39:29 2022,32.28504661861069,24.6875,-840,77.76239814222116,22.2150390625,0
Sun May 15 13:40:01 2022,31.51730674348964,24.6875,-887,78.99696673080332,22.2099609375,0
Sun May 15 13:40:33 2022,31.76354570811708,24.625,-842,80.19212488909281,22.2099609375,0
Sun May 15 13:41:05 2022,31.818543795447535,24.625,-880,81.01153432794978,22.2048828125,0
Sun May 15 13:41:38 2022,32.026023054542364,24.625,-888,73.61930234774437,22.1744140625,0
Sun May 15 13:42:10 2022,31.61798608920985,24.625,-883,78.9610429129058,22.1845703125,0
Sun May 15 13:42:42 2022,31.87213230583909,24.625,-902,70.00788170704531,22.1794921875,0
Sun May 15 13:43:14 2022,32.02831817010069,24.5625,-912,72.9832462448253,22.1591796875,0
Sun May 15 13:43:46 2022,32.12845262979092,24.5625,-860,67.11553249475328,22.1490234375,0
Sun May 15 13:44:18 2022,32.50602101214924,24.5625,-888,73.25728794207947,22.1439453125,0
Sun May 15 13:44:50 2022,31.8047625472759,24.5625,-855,72.06384787540951,22.1541015625,0
Sun May 15 13:45:22 2022,32.12413251157597,24.5625,-860,79.39157418323886,22.1845703125,0
Sun May 15 13:45:54 2022,32.37784747086391,24.5,-874,77.76957817003644,22.2302734375,0
Sun May 15 13:46:26 2022,32.136080851981966,24.5,-918,83.12018397497755,22.2708984375,0
Sun May 15 13:46:58 2022,31.76709603987371,24.5625,-869,74.91938921223617,22.2455078125,0
Sun May 15 13:47:30 2022,31.821117359678446,24.5,-895,76.94027096369607,22.2708984375,0
Sun May 15 13:48:02 2022,32.22944592947203,24.5,-856,72.50825329067018,22.2455078125,0
Sun May 15 13:48:34 2022,31.716220415277622,24.5,-877,78.70745984976512,22.2759765625,0
Sun May 15 13:49:06 2022,31.46160191964256,24.5,-920,78.62511836457739,22.2607421875,0
Sun May 15 13:49:38 2022,33.308816788104615,24.4375,-866,78.77628702319927,22.2708984375,1
Sun May 15 13:50:10 2022,33.426272288440806,24.5,-867,70.31314268884569,22.2404296875,1
Sun May 15 13:50:42 2022,32.98314001620858,24.5625,-838,78.55138226252713,22.2759765625,1
Sun May 15 13:51:14 2022,32.84623913472631,24.625,-861,75.25905660940006,22.2607421875,1
Sun May 15 13:51:46 2022,33.35825958894945,24.75,-870,73.46874693469258,22.2404296875,1
Sun May 15 13:52:18 2022,33.588508648626956,24.8125,-880,78.86564001949394,22.2505859375,1
Sun May 15 13:52:50 2022,33.76274349346045,25.0,-843,68.59539288829126,22.2353515625,1
Sun May 15 13:53:22 2022,34.53773900401704,25.125,-836,80.2071778118582,22.2455078125,1
Sun May 15 13:53:54 2022,34.37680344827487,25.3125,-841,70.3281723593912,22.2404296875,1
Sun May 15 13:54:26 2022,34.583746963356674,25.4375,-831,71.6027125370967,22.2302734375,1
Sun May 15 13:54:58 2022,33.6145374463619,25.5625,-803,76.61770013592334,22.2556640625,0
Sun May 15 13:55:30 2022,32.07946586698783,25.625,-858,77.60054161175414,22.2556640625,0
Sun May 15 13:56:02 2022,32.70868052025253,25.75,-857,75.48976880080467,22.31171875,0
Sun May 15 13:56:34 2022,31.510525730068274,25.8125,-884,78.36603024452506,22.367578125,0
Sun May 15 13:57:06 2022,32.48624221072662,25.8125,-844,76.56427250969416,22.377734375,0
Sun May 15 13:57:38 2022,31.86955521890393,25.8125,-845,77.54695957802117,22.398046875,0
Sun May 15 13:58:10 2022,31.34210023217095,25.8125,-843,79.75543793494388,22.357421875,0
Sun May 15 13:58:42 2022,32.23130953235908,25.875,-830,79.74931967406417,22.458984375,0
Sun May 15 13:59:14 2022,32.33370952337172,25.8125,-837,83.99710843170128,22.5708984375,0
Sun May 15 13:59:46 2022,32.1821877943059,25.8125,-839,77.45572364250346,22.525,0
Sun May 15 14:00:18 2022,32.48918772926689,25.75,-824,79.0558102138225,22.509765625,0
Sun May 15 14:00:50 2022,32.384829233863236,25.8125,-855,81.03216579394918,22.540234375,0
Sun May 15 14:01:22 2022,26.36056494123989,25.8125,-942,80.28184496600544,22.5759765625,0
Sun May 15 14:01:54 2022,27.80809254420923,25.8125,-920,75.75535464739201,22.5505859375,0
Sun May 15 14:02:26 2022,28.633070372469124,25.75,-897,79.87833296577718,22.5759765625,0
Sun May 15 14:02:58 2022,28.4784772520545,25.75,-894,80.76436649180958,22.5708984375,0
Sun May 15 14:03:30 2022,29.660734753311683,25.75,-890,81.45367045323198,22.6064453125,0
Sun May 15 14:04:02 2022,27.79126361939392,25.75,-937,84.48591141232137,22.6267578125,0
Sun May 15 14:04:34 2022,27.60184131760541,25.6875,-943,71.87014964630151,22.5658203125,0
Sun May 15 14:05:07 2022,27.81020551707914,25.6875,-948,84.32939046285502,22.6216796875,0
Sun May 15 14:05:39 2022,28.525546931292993,25.6875,-898,76.79719316258901,22.5962890625,0
Sun May 15 14:06:11 2022,30.019551889112467,25.6875,-901,74.51877803074993,22.6064453125,0
Sun May 15 14:06:43 2022,28.783241479191172,25.625,-905,81.41025285613584,22.6013671875,0
Sun May 15 14:07:15 2022,28.322037618032624,25.625,-904,72.56232795198707,22.6115234375,0
Sun May 15 14:07:47 2022,29.248892672357517,25.625,-884,77.51576116071986,22.6267578125,0
Sun May 15 14:08:19 2022,27.961139227113893,25.625,-935,72.80480899938168,22.6115234375,0
Sun May 15 14:08:51 2022,28.426939064348748,25.625,-923,67.69506628947072,22.6115234375,0
Sun May 15 14:09:23 2022,29.459142692589012,25.5625,-920,77.89580526457772,22.6216796875,0
Sun May 15 14:09:55 2022,29.420281157431766,25.5625,-916,85.26421882787557,22.6369140625,0
Sun May 15 14:10:27 2022,29.64581258315444,25.5,-883,71.70335785555832,22.6419921875,0
Sun May 15 14:10:59 2022,31.20518348108426,25.5,-855,82.24230578640434,22.5962890625,0
Sun May 15 14:11:31 2022,30.74041965092767,25.5,-872,74.26813470077566,22.6166015625,0
Sun May 15 14:12:03 2022,30.945760431313452,25.4375,-858,76.6524818920749,22.6572265625,0
Sun May 15 14:12:35 2022,31.0486140646696,25.5,-889,80.55451311574609,22.6826171875,0
Sun May 15 14:13:07 2022,30.999485249880127,25.4375,-877,79.87176488025183,22.6826171875,0
Sun May 15 14:13:39 2022,29.61379194089339,25.4375,-870,78.06322579231457,22.6318359375,0
Sun May 15 14:14:11 2022,29.66487884937498,25.4375,-912,77.55873853405112,22.6419921875,0
Sun May 15 14:14:43 2022,30.691248385430097,25.4375,-896,74.38022706775342,22.6267578125,0
Sun May 15 14:15:15 2022,30.33134722462643,25.4375,-875,72.79104568696269,22.6419921875,0
Sun May 15 14:15:47 2022,31.832056792417582,25.375,-874,68.97098139454323,22.6064453125,0
Sun May 15 14:16:19 2022,31.15383272302325,25.3125,-854,74.73256242667382,22.5861328125,0
Sun May 15 14:16:51 2022,30.53708216449438,25.3125,-881,78.17465018866035,22.6318359375,0
Sun May 15 14:17:23 2022,30.793739683973772,25.3125,-905,77.08910741301686,22.6115234375,0
Sun May 15 14:17:55 2022,29.85045948851015,25.3125,-912,72.88589801155833,22.6216796875,0
Sun May 15 14:18:27 2022,30.58407136464699,25.3125,-873,81.32199148907131,22.6267578125,0
Sun May 15 14:18:59 2022,32.89526933528951,25.25,-888,69.96639770744375,22.5810546875,0
Sun May 15 14:19:31 2022,29.76160955880684,25.25,-908,80.00371532348046,22.5962890625,0
Sun May 15 14:20:03 2022,29.867670903584592,25.25,-904,72.10804457358505,22.5810546875,0
Sun May 15 14:20:35 2022,30.128109176678414,25.25,-887,75.08240628551972,22.5759765625,0
Sun May 15 14:21:07 2022,30.226609454009033,25.1875,-884,68.80916905464174,22.530078125,0
Sun May 15 14:21:39 2022,31.014982759587827,25.1875,-886,79.86868043033138,22.5505859375,0
Sun May 15 14:22:11 2022,30.57286586405085,25.1875,-894,75.93441220802411,22.5658203125,0
Sun May 15 14:22:43 2022,30.02283666816948,25.1875,-897,74.96984523290588,22.5453125,0
Sun May 15 14:23:15 2022,29.709914920867384,25.1875,-899,71.70412643736076,22.525,0
Sun May 15 14:23:47 2022,30.520696129854205,25.125,-896,73.39838048334074,22.51484375,0
Sun May 15 14:24:19 2022,31.10247843287604,25.125,-909,79.72423926444185,22.5607421875,0
Sun May 15 14:24:51 2022,32.13119522691663,25.125,-864,74.40997512498421,22.525,0
Sun May 15 14:25:23 2022,31.412662586088413,25.0625,-863,70.71758780417153,22.484375,0
Sun May 15 14:25:56 2022,31.60962523401064,25.125,-862,69.63578815914353,22.484375,0
Sun May 15 14:26:28 2022,31.35654121231498,25.0625,-871,70.16144323131884,22.4640625,0
Sun May 15 14:27:00 2022,32.13090143940837,25.0625,-881,73.51841324030116,22.458984375,0
Sun May 15 14:27:32 2022,33.840714554655726,25.0625,-847,74.8998830855006,22.458984375,0
Sun May 15 14:28:04 2022,32.78998840893982,25.0625,-847,76.38909587491936,22.458984375,0
Sun May 15 14:28:36 2022,34.075046412642166,25.0,-844,79.42873038147685,22.469140625,0
Sun May 15 14:29:08 2022,32.64360673642354,25.0,-873,74.24126918814905,22.4234375,0
Sun May 15 14:29:40 2022,29.85289159922885,25.0,-891,74.7567998896031,22.418359375,0
Sun May 15 14:30:12 2022,31.41012972270653,25.0,-901,71.71565345478774,22.367578125,0
Sun May 15 14:30:44 2022,32.43624354596638,24.9375,-866,74.10360304662764,22.387890625,0
Sun May 15 14:31:16 2022,29.19951630505674,25.0,-943,83.40465864494543,22.428515625,0
Sun May 15 14:31:48 2022,30.84661786135733,24.9375,-872,72.3364526113931,22.408203125,0
Sun May 15 14:32:20 2022,30.020675458373255,24.9375,-932,74.80516552295094,22.4234375,0
Sun May 15 14:32:52 2022,33.10268561787997,24.9375,-850,71.92350423402321,22.428515625,0
Sun May 15 14:33:24 2022,31.249224632510156,24.875,-936,72.67641623306261,22.428515625,0
Sun May 15 14:33:56 2022,30.123648429320642,24.875,-908,76.4970837994948,22.41328125,0
Sun May 15 14:34:28 2022,33.18566799116781,24.875,-832,71.56926664551737,22.43359375,0
Sun May 15 14:35:00 2022,30.219670826921558,24.875,-900,73.91502162924175,22.448828125,0
Sun May 15 14:35:32 2022,33.85187824644361,24.875,-840,69.57979789737902,22.448828125,0
Sun May 15 14:36:04 2022,34.2207923740018,24.875,-846,73.19877965849801,22.428515625,0
Sun May 15 14:36:36 2022,34.80421118826347,24.8125,-865,77.68881244870717,22.41328125,0
Sun May 15 14:37:08 2022,34.33042615053294,24.8125,-847,70.86226411038729,22.398046875,0
Sun May 15 14:37:40 2022,35.53749923429129,24.8125,-811,71.72794834732507,22.398046875,0
Sun May 15 14:38:12 2022,35.95720346897371,24.75,-797,72.03373583063664,22.398046875,0
Sun May 15 14:38:44 2022,36.32697611584075,24.8125,-803,77.83423024958195,22.428515625,0
Sun May 15 14:39:16 2022,34.41417317393565,24.75,-849,77.03145077605737,22.44375,0
Sun May 15 14:39:48 2022,35.862361154877625,24.75,-829,72.73018918769314,22.41328125,0
Sun May 15 14:40:20 2022,32.27997243712011,24.75,-885,74.44096436960635,22.448828125,0
Sun May 15 14:40:52 2022,31.561988749766037,24.75,-884,78.73980831148403,22.4640625,0
Sun May 15 14:41:24 2022,32.50616766627266,24.75,-890,70.85950656543177,22.44375,0
Sun May 15 14:41:56 2022,32.38744709201207,24.75,-888,70.71625466049183,22.387890625,0
Sun May 15 14:42:28 2022,32.38714945790321,24.75,-875,77.96799729846921,22.408203125,0
Sun May 15 14:43:00 2022,30.38599141213844,24.6875,-925,72.86800773848348,22.403125,0
Sun May 15 14:43:32 2022,32.438716343922934,24.6875,-869,77.16348481886762,22.4234375,0
Sun May 15 14:44:04 2022,32.89526933528951,24.6875,-875,75.84711258658645,22.4234375,0
Sun May 15 14:44:36 2022,33.662984456070944,24.625,-866,70.1785669990094,22.408203125,0
Sun May 15 14:45:09 2022,33.66812595675346,24.6875,-855,80.98434112039482,22.41328125,0
Sun May 15 14:45:41 2022,34.02112656191315,24.625,-835,76.06736492204406,22.4234375,0
Sun May 15 14:46:13 2022,34.586050079804465,24.625,-828,73.41262707820971,22.418359375,0
Sun May 15 14:46:45 2022,31.771941684373864,24.625,-868,75.39326259893306,22.3828125,0
Sun May 15 14:47:17 2022,31.37460482262099,24.5625,-888,78.19210289922128,22.398046875,0
Sun May 15 14:47:49 2022,31.305205979727894,24.625,-891,72.74275655510904,22.37265625,0
Sun May 15 14:48:21 2022,30.99488832119877,24.5625,-895,79.97290438237872,22.3828125,0
Sun May 15 14:48:53 2022,31.256113430250345,24.5625,-914,80.1972738802291,22.3828125,0
Sun May 15 14:49:25 2022,31.597024052433703,24.5625,-880,76.52448334417114,22.367578125,0
Sun May 15 14:49:57 2022,31.823109371543595,24.5625,-910,69.65005036239421,22.31171875,0
Sun May 15 14:50:29 2022,31.66718148875606,24.5625,-905,69.9829118395136,22.29140625,0
Sun May 15 14:51:01 2022,31.19816851796651,24.5625,-885,77.76300876526271,22.3421875,0
Sun May 15 14:51:33 2022,31.361462914466536,24.5625,-921,67.26215280269294,22.326953125,0
Sun May 15 14:52:05 2022,31.204767601404658,24.5625,-909,75.15389850708395,22.3421875,0
Sun May 15 14:52:37 2022,32.84874391713502,24.5,-872,75.13198525141779,22.347265625,0
Sun May 15 14:53:09 2022,33.167463816641394,24.5,-896,69.45312344726672,22.337109375,0
Sun May 15 14:53:41 2022,33.002291448176344,24.5,-866,79.41694378004277,22.35234375,0
Sun May 15 14:54:13 2022,32.99992957949436,24.5,-889,78.94566575385647,22.357421875,0
Sun May 15 14:54:45 2022,31.35893404914117,24.5,-911,70.5414882001275,22.35234375,0
Sun May 15 14:55:17 2022,30.72165176639183,24.5,-901,72.75611245430227,22.337109375,0
Sun May 15 14:55:49 2022,31.70620907730803,24.4375,-895,76.68515139089071,22.347265625,1
Sun May 15 14:56:21 2022,32.43639357133813,24.5,-893,77.86281266997804,22.3625,1
Sun May 15 14:56:53 2022,32.43391677532505,24.5625,-894,73.70919783352946,22.367578125,1
Sun May 15 14:57:25 2022,31.924756967653742,24.6875,-886,66.99289320951318,22.33203125,1
Sun May 15 14:57:57 2022,31.50811690101601,24.75,-905,69.24466602792701,22.347265625,1
Sun May 15 14:58:29 2022,31.566660505304164,24.875,-895,70.47302959128848,22.377734375,1
Sun May 15 14:59:01 2022,31.668882432190664,25.0,-864,73.2129030340621,22.418359375,1
Sun May 15 14:59:33 2022,32.94870293778479,25.1875,-877,71.51970679986117,22.4234375,1
Sun May 15 15:00:05 2022,32.58752943584937,25.25,-848,74.21439464259333,22.43359375,1
Sun May 15 15:00:37 2022,32.58986723040998,25.4375,-860,73.72605429349609,22.44375,1
Sun May 15 15:01:09 2022,30.154437976920516,25.5625,-912,81.14430842341184,22.469140625,0
Sun May 15 15:01:41 2022,29.407425288966714,25.6875,-883,79.34313038960377,22.5453125,0
Sun May 15 15:02:13 2022,30.02753012627385,25.75,-887,77.85274891265736,22.5658203125,0
Sun May 15 15:02:45 2022,29.699272520790846,25.8125,-878,70.10271433750168,22.5505859375,0
Sun May 15 15:03:17 2022,30.076680980888433,25.875,-874,78.40896117551885,22.5453125,0
Sun May 15 15:03:49 2022,30.226349160071795,25.875,-874,68.91253396486826,22.5556640625,0
Sun May 15 15:04:21 2022,30.4878754804061,25.9375,-866,74.78506618102091,22.5759765625,0
Sun May 15 15:04:53 2022,28.957011452703362,25.875,-907,68.23309513450222,22.6013671875,0
